stop_id,stop_name,Lat,Lon
"8220DB000002","Parnell Square West, stop 2","53.3522443611407","-6.26372321891882"
"8220DB000003","Parnell Square West, stop 3","53.3523085514349","-6.26381074216821"
"8220DB000004","Parnell Square West, stop 4","53.3525745131874","-6.26417548603793"
"8220DB000006","Parnell Square West, stop 6","53.352749335707","-6.26445380396429"
"8220DB000007","Parnell Square West, stop 7","53.3528409105808","-6.26457026121744"
"8220DB000008","Parnell Square West, stop 8","53.3532722714846","-6.26518367657395"
"8220DB000010","Parnell Square West, stop 10","53.3533921036497","-6.26538912389949"
"8220DB000011","St Joseph's Parade, stop 11","53.3568152335319","-6.26467919507521"
"8220DB000012","Upper Dorset Street, stop 12","53.3571075162046","-6.26438186733525"
"8220DB000014","Dorset Street Lower, stop 14","53.3585312378782","-6.26277650570866"
"8220DB000015","Innisfallen Parade, stop 15","53.3602667075989","-6.26097804267247"
"8220DB000016","Nephin Road Park, stop 16","53.3663915571432","-6.30561418352733"
"8220DB000017","Drumcondra Rail Stn, stop 17","53.3630783243804","-6.25839928847829"
"8220DB000018","Dargle Road, stop 18","53.3658559259191","-6.2559568206783"
"8220DB000019","Botanic Avenue, stop 19","53.3672348759349","-6.25559994097697"
"8220DB000021","DCU St Patrick's, stop 21","53.3701011992972","-6.25431059904437"
"8220DB000022","Home Farm Road, stop 22","53.3735036097431","-6.25280375269001"
"8220DB000023","Ferguson Road, stop 23","53.3742282800816","-6.25626100416695"
"8220DB000024","Walsh Road, stop 24","53.3751331588865","-6.26037234812314"
"8220DB000025","Rathlin Road, stop 25","53.3758994661498","-6.26361773641705"
"8220DB000027","Ballymun Road, stop 27","53.3794389600131","-6.26658526125999"
"8220DB000028","Hampstead Avenue, stop 28","53.3815786376305","-6.26600227077734"
"8220DB000029","Albert College Park, stop 29","53.3834882529482","-6.26566910125412"
"8220DB000030","Ventry Park, stop 30","53.3703319001951","-6.30460116922909"
"8220DB000031","St Pappin's Road, stop 31","53.3860332259168","-6.26885807727496"
"8220DB000032","Stormanstown Road, stop 32","53.3861955680761","-6.27137720104136"
"8220DB000033","Glasnevin Drive, stop 33","53.3887179243081","-6.27177114122446"
"8220DB000035","Dean Swift Road, stop 35","53.3862067871037","-6.27091069254095"
"8220DB000036","Maolbuille Road, stop 36","53.3861268504134","-6.26787706978334"
"8220DB000037","DCU Ballymun Road, stop 37","53.3853464011964","-6.2648869813179"
"8220DB000038","Hampstead Avenue, stop 38","53.3822365941661","-6.26550952120501"
"8220DB000039","The Rise, stop 39","53.3804141869347","-6.26565875906584"
"8220DB000040","Stella Avenue, stop 40","53.3766607654531","-6.2646689685279"
"8220DB000041","Home Farm Road, stop 41","53.3755592683283","-6.26185800624665"
"8220DB000042","Corpus Christi NS, stop 42","53.37465027346","-6.25746118972129"
"8220DB000043","Achill Road, stop 43","53.3738612202293","-6.25390131043387"
"8220DB000044","Skylon Hotel, stop 44","53.3730174091229","-6.25213230324291"
"8220DB000045","DCU St Patrick's, stop 45","53.3699364344031","-6.25410694084961"
"8220DB000046","Botanic Avenue, stop 46","53.3671310162176","-6.25525855655008"
"8220DB000047","Drumcondra Rail Stn, stop 47","53.3639161189952","-6.25729825652797"
"8220DB000048","Fitzroy Avenue, stop 48","53.3622573901253","-6.25880841233312"
"8220DB000049","Dorset Street Lower, stop 49","53.3600042378903","-6.26085350834049"
"8220DB000051","Temple Street, stop 51","53.3578104088118","-6.26327157246547"
"8220DB000052","Dorset Street Upper, stop 52","53.3566607792373","-6.26456528204094"
"8220DB000053","North Circular Road, stop 53","53.3600144884247","-6.26279128910748"
"8220DB000054","Mater Hospital, stop 54","53.3602216080572","-6.26590803396304"
"8220DB000055","Mountjoy, stop 55","53.3604116029257","-6.26846957982232"
"8220DB000056","Dalymount, stop 56","53.3607597246064","-6.27637365491405"
"8220DB000057","Dalymount, stop 57","53.3608162242942","-6.27655167484326"
"8220DB000058","Churchview Home, stop 58","53.3609462458936","-6.28120420246718"
"8220DB000059","Annamoe Terrace, stop 59","53.3610180101986","-6.28494256312823"
"8220DB000060","Quarry Road, stop 60","53.3612792196503","-6.28936450005441"
"8220DB000063","Faussaugh Avenue, stop 63","53.3667924372952","-6.29275010805849"
"8220DB000064","Faussaugh Ave Church, stop 64","53.3670885820688","-6.29523278220332"
"8220DB000065","Dingle Road, stop 65","53.3672546442408","-6.29805127641295"
"8220DB000066","Broombridge Road, stop 66","53.3672749883724","-6.30074034554988"
"8220DB000068","Ventry Drive, stop 68","53.3690775080481","-6.30424523466637"
"8220DB000069","Carnlough Road, stop 69","53.3713925640956","-6.30334171689521"
"8220DB000071","Ventry Park, stop 71","53.370257689331","-6.30443880530348"
"8220DB000072","Ventry Drive, stop 72","53.3689699260271","-6.30426453600159"
"8220DB000073","Faussagh Avenue, stop 73","53.3673915527279","-6.30072067865566"
"8220DB000074","Faussaugh Ave Church, stop 74","53.3672002385656","-6.29549881400774"
"8220DB000075","Fionnbarra GAA, stop 75","53.3665472298968","-6.2913173193679"
"8220DB000077","Quarry Road, stop 77","53.3613091819047","-6.28957365234684"
"8220DB000078","Annamoe Terrace, stop 78","53.3611492151928","-6.2840658352747"
"8220DB000079","Churchview Home, stop 79","53.3610212509784","-6.28079550562148"
"8220DB000080","Phibsborough PO, stop 80","53.3608629632753","-6.27605396152958"
"8220DB000081","Phibsborough, stop 81","53.3608757479082","-6.27196662691603"
"8220DB000082","Phibsborough, stop 82","53.3607977959179","-6.27154908016377"
"8220DB000083","Mater Hospital, stop 83","53.3602792498247","-6.26554509616271"
"8220DB000084","Leo Street, stop 84","53.3601625615987","-6.26370178059097"
"8220DB000085","Wellpark Avenue, stop 85","53.3739579526161","-6.25191342966416"
"8220DB000086","Home Farm FC, stop 86","53.3760502204615","-6.25116639066164"
"8220DB000087","Clare Road, stop 87","53.3767517255744","-6.25488028992455"
"8220DB000088","Walnut Rise, stop 88","53.3772872553016","-6.25769922864556"
"8220DB000090","Albert College Court, stop 90","53.3863855316762","-6.26526567275517"
"8220DB000091","Ballymun Road NS, stop 91","53.3884278896508","-6.26540814207678"
"8220DB000092","Ballymun Library, stop 92","53.3898373340536","-6.264674240361"
"8220DB000093","Gateway Avenue, stop 93","53.3923014677522","-6.26415297561009"
"8220DB000094","Civic Centre, stop 94","53.396034762414","-6.26437695995443"
"8220DB000102","Balbutcher Lane, stop 102","53.3977730701685","-6.26771985697008"
"8220DB000104","Poppintree Parade, stop 104","53.3997562075198","-6.27681294502523"
"8220DB000105","Belclare Park, stop 105","53.4029363966841","-6.28169269646944"
"8220DB000107","Crannogue Road, stop 107","53.4023798988012","-6.28049690990608"
"8220DB000110","Árd Na Meala, stop 110","53.3979386409638","-6.26860038147326"
"8220DB000112","Civic Centre, stop 112","53.3961544015487","-6.26395104030175"
"8220DB000113","Trinity Comp School, stop 113","53.3922679629287","-6.26370325464242"
"8220DB000114","Ballymun Road, stop 114","53.3913333220569","-6.26371122925232"
"8220DB000115","Ballymun Road Church, stop 115","53.3879640919895","-6.26503610048144"
